"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1"
"dH_adj[379]",-187.828747618621,0.438266998078846,12.6357327113308,-212.61541919478,-196.642128293185,-187.917401075841,-178.697318134407,-163.961609434344,831.234045894848,0.99921787786252,-187.828747618621,12.6357327113308,-212.61541919478,-196.642128293185,-187.917401075841,-178.697318134407,-163.961609434344
"dH_adj[380]",-206.386507153504,0.490320317417583,14.1364887180231,-234.11711139298,-216.246660048468,-206.485690052228,-196.170530539243,-179.684650016958,831.234045894849,0.99921787786252,-206.386507153504,14.1364887180231,-234.11711139298,-216.246660048468,-206.485690052228,-196.170530539243,-179.684650016958
"dH_adj[381]",-223.32028922722,0.537818484652631,15.5059145431275,-253.737204498293,-234.135611986721,-223.429080142872,-212.114673496535,-194.031777549337,831.234045894849,0.99921787786252,-223.32028922722,15.5059145431275,-253.737204498293,-234.135611986721,-223.429080142872,-212.114673496535,-194.031777549337
"dH_adj[382]",-177.182673150965,0.408405445399107,11.7747904098102,-200.280491808078,-185.39554949266,-177.265286158198,-168.673418422733,-154.941734993906,831.234045894849,0.999217877862521,-177.182673150965,11.7747904098102,-200.280491808078,-185.39554949266,-177.265286158198,-168.673418422733,-154.941734993906
"dH_adj[383]",-212.729735356527,0.508112663668744,14.649462162345,-241.466605285708,-222.947685487633,-212.832517323887,-202.143049663409,-185.0589428713,831.234045894849,0.99921787786252,-212.729735356527,14.649462162345,-241.466605285708,-222.947685487633,-212.832517323887,-202.143049663409,-185.0589428713
"dH_adj[384]",-217.115862516604,0.520415467641101,15.0041659006507,-246.548531040855,-227.581217301148,-217.221133117858,-206.27284406874,-188.775084100998,831.234045894849,0.99921787786252,-217.115862516604,15.0041659006507,-246.548531040855,-227.581217301148,-217.221133117858,-206.27284406874,-188.775084100998
"dH_adj[385]",-217.532266993827,0.521583455359996,15.0378403061861,-247.030992346723,-228.021109561925,-217.637773857791,-206.664913157854,-189.127882319007,831.234045894849,0.99921787786252,-217.532266993827,15.0378403061861,-247.030992346723,-228.021109561925,-217.637773857791,-206.664913157854,-189.127882319007
"dH_adj[386]",-224.62502325585,0.541478179505167,15.6114276804716,-255.248916590014,-235.513941070488,-224.734554461332,-213.343156642425,-195.137211965766,831.234045894849,0.99921787786252,-224.62502325585,15.6114276804716,-255.248916590014,-235.513941070488,-224.734554461332,-213.343156642425,-195.137211965766
"dH_adj[387]",-195.726552536608,0.460419831813881,13.274423936318,-221.76610196275,-204.985418172583,-195.81968710992,-186.133561857931,-170.65301563592,831.234045894849,0.99921787786252,-195.726552536608,13.274423936318,-221.76610196275,-204.985418172583,-195.81968710992,-186.133561857931,-170.65301563592
"dH_adj[388]",-226.512723552592,0.546773057164156,15.7640849855652,-257.436074509951,-237.508119319343,-226.623325815699,-215.120536513074,-196.736563887408,831.234045894849,0.99921787786252,-226.512723552592,15.7640849855652,-257.436074509951,-237.508119319343,-226.623325815699,-215.120536513074,-196.736563887408
"dH_adj[389]",-210.453390881044,0.501727664138787,14.4653754120851,-238.829150146961,-220.54294112872,-210.554881278915,-199.999738642921,-183.130312612849,831.234045894849,0.99921787786252,-210.453390881044,14.4653754120851,-238.829150146961,-220.54294112872,-210.554881278915,-199.999738642921,-183.130312612849
"dH_adj[390]",-168.118935696755,0.382982246051167,11.041810849324,-189.778917383677,-175.820561283086,-168.196406052304,-160.13938124969,-147.262493781903,831.234045894849,0.99921787786252,-168.118935696755,11.041810849324,-189.778917383677,-175.820561283086,-168.196406052304,-160.13938124969,-147.262493781903
"dH_adj[391]",-209.814904015969,0.499936749636482,14.4137413235975,-238.08937614463,-219.868439662196,-209.91603214435,-199.398566039613,-182.589355345235,831.234045894848,0.999217877862521,-209.814904015969,14.4137413235975,-238.08937614463,-219.868439662196,-209.91603214435,-199.398566039613,-182.589355345235
"dH_adj[392]",-202.638866858502,0.479808427947531,13.8334190682049,-229.774959640165,-212.287629701477,-202.735923392823,-192.641908737219,-176.509466054875,831.234045894849,0.99921787786252,-202.638866858502,13.8334190682049,-229.774959640165,-212.287629701477,-202.735923392823,-192.641908737219,-176.509466054875
"dH_adj[393]",-185.052717770471,0.430480413286215,12.4112366744284,-209.399010488991,-193.70951322134,-185.139796142949,-176.083524206982,-161.609621314282,831.234045894849,0.999217877862521,-185.052717770471,12.4112366744284,-209.399010488991,-193.70951322134,-185.139796142949,-176.083524206982,-161.609621314282
"dH_adj[394]",-207.122155063264,0.49238376238763,14.1959801678022,-234.969459700014,-217.023803042507,-207.221755359444,-196.863185930011,-180.307926868775,831.234045894849,0.99921787786252,-207.122155063264,14.1959801678022,-234.969459700014,-217.023803042507,-207.221755359444,-196.863185930011,-180.307926868775
"dH_adj[395]",-194.074814776959,0.455786813862265,13.1408487943611,-219.852338782805,-203.240512204836,-194.167012174849,-184.578354471113,-169.253582704483,831.234045894849,0.999217877862521,-194.074814776959,13.1408487943611,-219.852338782805,-203.240512204836,-194.167012174849,-184.578354471113,-169.253582704483
"dH_adj[396]",-189.605406721437,0.44325041234613,12.7794101749483,-214.673920766485,-198.519001939165,-189.695068232892,-180.370146247959,-165.466881831183,831.234045894849,0.99921787786252,-189.605406721437,12.7794101749483,-214.673920766485,-198.519001939165,-189.695068232892,-180.370146247959,-165.466881831183
"dH_adj[397]",-189.244522841177,0.442238156323087,12.750225690151,-214.255787634732,-198.137761979826,-189.333979591616,-180.030353037394,-165.161123375575,831.234045894849,0.99921787786252,-189.244522841177,12.750225690151,-214.255787634732,-198.137761979826,-189.333979591616,-180.030353037394,-165.161123375575
"dH_adj[398]",-187.384582842917,0.437021144512025,12.5998133454264,-212.100793801854,-196.17290988169,-187.472984286578,-178.279111106019,-163.585291335134,831.234045894849,0.999217877862521,-187.384582842917,12.5998133454264,-212.100793801854,-196.17290988169,-187.472984286578,-178.279111106019,-163.585291335134
"dH_adj[399]",-186.635054783916,0.434918766618014,12.5391994154628,-211.23236345129,-195.381103812291,-186.723030954697,-177.573386745615,-162.950254542717,831.234045894849,0.999217877862521,-186.635054783916,12.5391994154628,-211.23236345129,-195.381103812291,-186.723030954697,-177.573386745615,-162.950254542717
